Frequency,Amplitude
11352.6971,0.7139
11364.4130,0.7358
11376.1289,0.7571
11387.8448,0.7780
11399.5607,0.7983
11411.2765,0.8182
11422.9924,0.8378
11434.7083,0.8565
11446.4242,0.8753
11458.1401,0.8936
11469.8560,0.9118
11481.5719,0.9291
11493.2878,0.9461
11505.0037,0.9632
11516.7196,0.9797
11528.4354,0.9959
11540.1513,1.0119
11551.8672,1.0276
11563.5831,1.0431
11575.2990,1.0584
11587.0149,1.0735
11598.7308,1.0882
11610.4467,1.1027
11622.1626,1.1173
11633.8784,1.1314
11645.5943,1.1452
11657.3102,1.1589
11669.0261,1.1729
11680.7420,1.1861
11692.4579,1.1998
11704.1738,1.2127
11715.8897,1.2256
11727.6056,1.2387
11739.3215,1.2517
11751.0373,1.2643
11762.7532,1.2768
11774.4691,1.2891
11786.1850,1.3017
11797.9009,1.3139
11809.6168,1.3260
11821.3327,1.3382
11833.0486,1.3500
11844.7645,1.3619
11856.4804,1.3737
11868.1962,1.3855
11879.9121,1.3971
11891.6280,1.4089
11903.3439,1.4201
11915.0598,1.4317
11926.7757,1.4431
11938.4916,1.4547
11950.2075,1.4658
11961.9234,1.4768
11973.6392,1.4883
11985.3551,1.4993
11997.0710,1.5102
12008.7869,1.5213
12020.5028,1.5323
12032.2187,1.5433
12043.9346,1.5543
12055.6505,1.5650
12067.3664,1.5759
12079.0823,1.5866
12090.7981,1.5972
12102.5140,1.6081
12114.2299,1.6187
12125.9458,1.6292
12137.6617,1.6400
12149.3776,1.6505
12161.0935,1.6610
12172.8094,1.6715
12184.5253,1.6820
12196.2412,1.6925
12207.9570,1.7030
12219.6729,1.7130
12231.3888,1.7236
12243.1047,1.7338
12254.8206,1.7442
12266.5365,1.7543
12278.2524,1.7644
12289.9683,1.7751
12301.6842,1.7851
12313.4000,1.7953
12325.1159,1.8054
12336.8318,1.8157
12348.5477,1.8255
12360.2636,1.8357
12371.9795,1.8460
12383.6954,1.8560
12395.4113,1.8658
12407.1272,1.8759
12418.8431,1.8862
12430.5589,1.8962
12442.2748,1.9060
12453.9907,1.9161
12465.7066,1.9261
12477.4225,1.9360
12489.1384,1.9459
12500.8543,1.9559
12512.5702,1.9657
12524.2861,1.9759
12536.0020,1.9856
12547.7178,1.9957
12559.4337,2.0055
12571.1496,2.0153
12582.8655,2.0253
12594.5814,2.0354
12606.2973,2.0451
12618.0132,2.0550
12629.7291,2.0648
12641.4450,2.0749
12653.1608,2.0848
12664.8767,2.0947
12676.5926,2.1046
12688.3085,2.1143
12700.0244,2.1246
12711.7403,2.1344
12723.4562,2.1444
12735.1721,2.1544
12746.8880,2.1643
12758.6039,2.1742
12770.3197,2.1843
12782.0356,2.1943
12793.7515,2.2042
12805.4674,2.2142
12817.1833,2.2244
12828.8992,2.2345
12840.6151,2.2446
12852.3310,2.2545
12864.0469,2.2647
12875.7628,2.2748
12887.4786,2.2849
12899.1945,2.2950
12910.9104,2.3052
12922.6263,2.3156
12934.3422,2.3258
12946.0581,2.3360
12957.7740,2.3462
12969.4899,2.3565
12981.2058,2.3669
12992.9216,2.3773
13004.6375,2.3876
13016.3534,2.3981
13028.0693,2.4084
13039.7852,2.4189
13051.5011,2.4293
13063.2170,2.4400
13074.9329,2.4506
13086.6488,2.4610
13098.3647,2.4716
13110.0805,2.4823
13121.7964,2.4930
13133.5123,2.5036
13145.2282,2.5143
13156.9441,2.5251
13168.6600,2.5358
13180.3759,2.5468
13192.0918,2.5575
13203.8077,2.5682
13215.5236,2.5792
13227.2394,2.5903
13238.9553,2.6010
13250.6712,2.6121
13262.3871,2.6230
13274.1030,2.6341
13285.8189,2.6451
13297.5348,2.6563
13309.2507,2.6677
13320.9666,2.6789
13332.6825,2.6899
13344.3983,2.7010
13356.1142,2.7125
13367.8301,2.7237
13379.5460,2.7350
13391.2619,2.7465
13402.9778,2.7579
13414.6937,2.7693
13426.4096,2.7809
13438.1255,2.7924
13449.8413,2.8037
13461.5572,2.8154
13473.2731,2.8272
13484.9890,2.8385
13496.7049,2.8502
13508.4208,2.8620
13520.1367,2.8736
13531.8526,2.8854
13543.5685,2.8971
13555.2844,2.9090
13567.0002,2.9207
13578.7161,2.9326
13590.4320,2.9445
13602.1479,2.9563
13613.8638,2.9684
13625.5797,2.9803
13637.2956,2.9924
13649.0115,3.0044
13660.7274,3.0164
13672.4433,3.0284
13684.1591,3.0406
13695.8750,3.0526
13707.5909,3.0648
13719.3068,3.0769
13731.0227,3.0891
13742.7386,3.1014
13754.4545,3.1137
13766.1704,3.1259
13777.8863,3.1380
13789.6021,3.1505
13801.3180,3.1625
13813.0339,3.1751
13824.7498,3.1872
13836.4657,3.1996
13848.1816,3.2118
13859.8975,3.2245
13871.6134,3.2369
13883.3293,3.2493
13895.0452,3.2618
13906.7610,3.2744
13918.4769,3.2867
13930.1928,3.2993
13941.9087,3.3116
13953.6246,3.3243
13965.3405,3.3369
13977.0564,3.3491
13988.7723,3.3619
14000.4882,3.3744
14012.2041,3.3870
14023.9199,3.3997
14035.6358,3.4124
14047.3517,3.4248
14059.0676,3.4374
14070.7835,3.4500
14082.4994,3.4628
14094.2153,3.4753
14105.9312,3.4880
14117.6471,3.5007
14129.3629,3.5134
14141.0788,3.5260
14152.7947,3.5387
14164.5106,3.5514
14176.2265,3.5640
14187.9424,3.5766
14199.6583,3.5893
14211.3742,3.6019
14223.0901,3.6146
14234.8060,3.6274
14246.5218,3.6402
14258.2377,3.6528
14269.9536,3.6656
14281.6695,3.6782
14293.3854,3.6909
14305.1013,3.7036
14316.8172,3.7163
14328.5331,3.7291
14340.2490,3.7416
14351.9649,3.7543
14363.6807,3.7670
14375.3966,3.7798
14387.1125,3.7924
14398.8284,3.8052
14410.5443,3.8177
14422.2602,3.8304
14433.9761,3.8432
14445.6920,3.8557
14457.4079,3.8684
14469.1237,3.8811
14480.8396,3.8935
14492.5555,3.9063
14504.2714,3.9190
14515.9873,3.9314
14527.7032,3.9441
14539.4191,3.9569
14551.1350,3.9693
14562.8509,3.9818
14574.5668,3.9945
14586.2826,4.0069
14597.9985,4.0197
14609.7144,4.0321
14621.4303,4.0446
14633.1462,4.0573
14644.8621,4.0698
14656.5780,4.0822
14668.2939,4.0949
14680.0098,4.1072
14691.7257,4.1195
14703.4415,4.1321
14715.1574,4.1446
14726.8733,4.1570
14738.5892,4.1696
14750.3051,4.1819
14762.0210,4.1942
14773.7369,4.2068
14785.4528,4.2190
