frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
11903.3439,1.4201,17.4881,1.4201,17.4881
11915.0598,1.4317,17.5049,1.4317,17.5049
11926.7757,1.4431,17.5248,1.4431,17.5248
11938.4916,1.4547,17.5422,1.4547,17.5422
11950.2075,1.4658,17.5605,1.4658,17.5605
11961.9234,1.4768,17.5803,1.4768,17.5803
11973.6392,1.4883,17.6014,1.4883,17.6014
11985.3551,1.4993,17.6194,1.4993,17.6194
11997.0710,1.5102,17.6390,1.5102,17.6390
12008.7869,1.5213,17.6601,1.5213,17.6601
12020.5028,1.5323,17.6817,1.5323,17.6817
12032.2187,1.5433,17.7030,1.5433,17.7030
12043.9346,1.5543,17.7227,1.5543,17.7227
12055.6505,1.5650,17.7461,1.5650,17.7461
12067.3664,1.5759,17.7663,1.5759,17.7663
12079.0823,1.5866,17.7890,1.5866,17.7890
12090.7981,1.5972,17.8113,1.5972,17.8113
12102.5140,1.6081,17.8324,1.6081,17.8324
12114.2299,1.6187,17.8565,1.6187,17.8565
12125.9458,1.6292,17.8794,1.6292,17.8794
12137.6617,1.6400,17.9014,1.6400,17.9014
12149.3776,1.6505,17.9249,1.6505,17.9249
12161.0935,1.6610,17.9480,1.6610,17.9480
12172.8094,1.6715,17.9729,1.6715,17.9729
12184.5253,1.6820,17.9958,1.6820,17.9958
12196.2412,1.6925,18.0184,1.6925,18.0184
12207.9570,1.7030,18.0441,1.7030,18.0441
12219.6729,1.7130,18.0670,1.7130,18.0670
12231.3888,1.7236,18.0928,1.7236,18.0928
12243.1047,1.7338,18.1172,1.7338,18.1172
12254.8206,1.7442,18.1405,1.7442,18.1405
12266.5365,1.7543,18.1657,1.7543,18.1657
12278.2524,1.7644,18.1912,1.7644,18.1912
12289.9683,1.7751,18.2156,1.7751,18.2156
12301.6842,1.7851,18.2423,1.7851,18.2423
12313.4000,1.7953,18.2660,1.7953,18.2660
12325.1159,1.8054,18.2914,1.8054,18.2914
12336.8318,1.8157,18.3181,1.8157,18.3181
12348.5477,1.8255,18.3431,1.8255,18.3431
12360.2636,1.8357,18.3700,1.8357,18.3700
12371.9795,1.8460,18.3955,1.8460,18.3955
12383.6954,1.8560,18.4219,1.8560,18.4219
12395.4113,1.8658,18.4472,1.8658,18.4472
12407.1272,1.8759,18.4747,1.8759,18.4747
12418.8431,1.8862,18.5009,1.8862,18.5009
12430.5589,1.8962,18.5272,1.8962,18.5272
12442.2748,1.9060,18.5536,1.9060,18.5536
12453.9907,1.9161,18.5817,1.9161,18.5817
12465.7066,1.9261,18.6069,1.9261,18.6069
12477.4225,1.9360,18.6342,1.9360,18.6342
12489.1384,1.9459,18.6631,1.9459,18.6631
12500.8543,1.9559,18.6893,1.9559,18.6893
12512.5702,1.9657,18.7173,1.9657,18.7173
12524.2861,1.9759,18.7444,1.9759,18.7444
12536.0020,1.9856,18.7721,1.9856,18.7721
12547.7178,1.9957,18.8005,1.9957,18.8005
12559.4337,2.0055,18.8282,2.0055,18.8282
12571.1496,2.0153,18.8563,2.0153,18.8563
12582.8655,2.0253,18.8829,2.0253,18.8829
12594.5814,2.0354,18.9120,2.0354,18.9120
12606.2973,2.0451,18.9412,2.0451,18.9412
12618.0132,2.0550,18.9683,2.0550,18.9683
12629.7291,2.0648,18.9970,2.0648,18.9970
12641.4450,2.0749,19.0248,2.0749,19.0248
12653.1608,2.0848,19.0537,2.0848,19.0537
12664.8767,2.0947,19.0815,2.0947,19.0815
12676.5926,2.1046,19.1118,2.1046,19.1118
12688.3085,2.1143,19.1395,2.1143,19.1395
12700.0244,2.1246,19.1694,2.1246,19.1694
12711.7403,2.1344,19.1980,2.1344,19.1980
12723.4562,2.1444,19.2279,2.1444,19.2279
12735.1721,2.1544,19.2572,2.1544,19.2572
12746.8880,2.1643,19.2864,2.1643,19.2864
12758.6039,2.1742,19.3153,2.1742,19.3153
12770.3197,2.1843,19.3450,2.1843,19.3450
12782.0356,2.1943,19.3757,2.1943,19.3757
12793.7515,2.2042,19.4037,2.2042,19.4037
12805.4674,2.2142,19.4328,2.2142,19.4328
12817.1833,2.2244,19.4631,2.2244,19.4631
12828.8992,2.2345,19.4917,2.2345,19.4917
12840.6151,2.2446,19.5226,2.2446,19.5226
12852.3310,2.2545,19.5533,2.2545,19.5533
12864.0469,2.2647,19.5830,2.2647,19.5830
12875.7628,2.2748,19.6123,2.2748,19.6123
12887.4786,2.2849,19.6434,2.2849,19.6434
12899.1945,2.2950,19.6722,2.2950,19.6722
12910.9104,2.3052,19.7034,2.3052,19.7034
12922.6263,2.3156,19.7326,2.3156,19.7326
12934.3422,2.3258,19.7627,2.3258,19.7627
12946.0581,2.3360,19.7915,2.3360,19.7915
12957.7740,2.3462,19.8222,2.3462,19.8222
12969.4899,2.3565,19.8538,2.3565,19.8538
12981.2058,2.3669,19.8826,2.3669,19.8826
12992.9216,2.3773,19.9120,2.3773,19.9120
13004.6375,2.3876,19.9436,2.3876,19.9436
13016.3534,2.3981,19.9709,2.3981,19.9709
13028.0693,2.4084,20.0031,2.4084,20.0031
13039.7852,2.4189,20.0319,2.4189,20.0319
13051.5011,2.4293,20.0621,2.4293,20.0621
13063.2170,2.4400,20.0917,2.4400,20.0917
13074.9329,2.4506,20.1220,2.4506,20.1220
13086.6488,2.4610,20.1518,2.4610,20.1518
13098.3647,2.4716,20.1812,2.4716,20.1812
13110.0805,2.4823,20.2112,2.4823,20.2112
13121.7964,2.4930,20.2409,2.4930,20.2409
13133.5123,2.5036,20.2708,2.5036,20.2708
13145.2282,2.5143,20.3001,2.5143,20.3001
13156.9441,2.5251,20.3307,2.5251,20.3307
13168.6600,2.5358,20.3589,2.5358,20.3589
13180.3759,2.5468,20.3885,2.5468,20.3885
13192.0918,2.5575,20.4165,2.5575,20.4165
13203.8077,2.5682,20.4466,2.5682,20.4466
13215.5236,2.5792,20.4758,2.5792,20.4758
13227.2394,2.5903,20.5045,2.5903,20.5045
13238.9553,2.6010,20.5335,2.6010,20.5335
13250.6712,2.6121,20.5621,2.6121,20.5621
13262.3871,2.6230,20.5905,2.6230,20.5905
13274.1030,2.6341,20.6189,2.6341,20.6189
13285.8189,2.6451,20.6482,2.6451,20.6482
13297.5348,2.6563,20.6753,2.6563,20.6753
13309.2507,2.6677,20.7037,2.6677,20.7037
13320.9666,2.6789,20.7299,2.6789,20.7299
13332.6825,2.6899,20.7583,2.6899,20.7583
13344.3983,2.7010,20.7859,2.7010,20.7859
13356.1142,2.7125,20.8128,2.7125,20.8128
13367.8301,2.7237,20.8410,2.7237,20.8410
13379.5460,2.7350,20.8679,2.7350,20.8679
13391.2619,2.7465,20.8945,2.7465,20.8945
13402.9778,2.7579,20.9217,2.7579,20.9217
13414.6937,2.7693,20.9480,2.7693,20.9480
13426.4096,2.7809,20.9733,2.7809,20.9733
13438.1255,2.7924,21.0007,2.7924,21.0007
13449.8413,2.8037,21.0272,2.8037,21.0272
13461.5572,2.8154,21.0517,2.8154,21.0517
13473.2731,2.8272,21.0766,2.8272,21.0766
13484.9890,2.8385,21.1017,2.8385,21.1017
13496.7049,2.8502,21.1274,2.8502,21.1274
13508.4208,2.8620,21.1521,2.8620,21.1521
13520.1367,2.8736,21.1762,2.8736,21.1762
13531.8526,2.8854,21.2004,2.8854,21.2004
13543.5685,2.8971,21.2255,2.8971,21.2255
13555.2844,2.9090,21.2484,2.9090,21.2484
13567.0002,2.9207,21.2725,2.9207,21.2725
13578.7161,2.9326,21.2966,2.9326,21.2966
13590.4320,2.9445,21.3194,2.9445,21.3194
13602.1479,2.9563,21.3428,2.9563,21.3428
13613.8638,2.9684,21.3648,2.9684,21.3648
13625.5797,2.9803,21.3882,2.9803,21.3882
13637.2956,2.9924,21.4084,2.9924,21.4084
13649.0115,3.0044,21.4326,3.0044,21.4326
13660.7274,3.0164,21.4545,3.0164,21.4545
13672.4433,3.0284,21.4748,3.0284,21.4748
13684.1591,3.0406,21.4964,3.0406,21.4964
13695.8750,3.0526,21.5163,3.0526,21.5163
13707.5909,3.0648,21.5375,3.0648,21.5375
13719.3068,3.0769,21.5577,3.0769,21.5577
13731.0227,3.0891,21.5786,3.0891,21.5786
13742.7386,3.1014,21.5966,3.1014,21.5966
13754.4545,3.1137,21.6159,3.1137,21.6159
13766.1704,3.1259,21.6348,3.1259,21.6348
13777.8863,3.1380,21.6530,3.1380,21.6530
13789.6021,3.1505,21.6724,3.1505,21.6724
13801.3180,3.1625,21.6899,3.1625,21.6899
13813.0339,3.1751,21.7086,3.1751,21.7086
13824.7498,3.1872,21.7267,3.1872,21.7267
13836.4657,3.1996,21.7430,3.1996,21.7430
13848.1816,3.2118,21.7610,3.2118,21.7610
13859.8975,3.2245,21.7784,3.2245,21.7784
13871.6134,3.2369,21.7932,3.2369,21.7932
13883.3293,3.2493,21.8100,3.2493,21.8100
13895.0452,3.2618,21.8255,3.2618,21.8255
13906.7610,3.2744,21.8403,3.2744,21.8403
13918.4769,3.2867,21.8557,3.2867,21.8557
13930.1928,3.2993,21.8706,3.2993,21.8706
13941.9087,3.3116,21.8849,3.3116,21.8849
13953.6246,3.3243,21.8993,3.3243,21.8993
13965.3405,3.3369,21.9117,3.3369,21.9117
13977.0564,3.3491,21.9251,3.3491,21.9251
13988.7723,3.3619,21.9399,3.3619,21.9399
14000.4882,3.3744,21.9523,3.3744,21.9523
14012.2041,3.3870,21.9647,3.3870,21.9647
14023.9199,3.3997,21.9764,3.3997,21.9764
14035.6358,3.4124,21.9881,3.4124,21.9881
14047.3517,3.4248,21.9996,3.4248,21.9996
14059.0676,3.4374,22.0117,3.4374,22.0117
14070.7835,3.4500,22.0228,3.4500,22.0228
14082.4994,3.4628,22.0333,3.4628,22.0333
14094.2153,3.4753,22.0433,3.4753,22.0433
14105.9312,3.4880,22.0528,3.4880,22.0528
14117.6471,3.5007,22.0628,3.5007,22.0628
14129.3629,3.5134,22.0724,3.5134,22.0724
14141.0788,3.5260,22.0807,3.5260,22.0807
14152.7947,3.5387,22.0898,3.5387,22.0898
14164.5106,3.5514,22.0965,3.5514,22.0965
14176.2265,3.5640,22.1056,3.5640,22.1056
14187.9424,3.5766,22.1147,3.5766,22.1147
14199.6583,3.5893,22.1202,3.5893,22.1202
14211.3742,3.6019,22.1265,3.6019,22.1265
14223.0901,3.6146,22.1352,3.6146,22.1352
14234.8060,3.6274,22.1404,3.6274,22.1404
14246.5218,3.6402,22.1468,3.6402,22.1468
14258.2377,3.6528,22.1535,3.6528,22.1535
14269.9536,3.6656,22.1580,3.6656,22.1580
14281.6695,3.6782,22.1626,3.6782,22.1626
14293.3854,3.6909,22.1680,3.6909,22.1680
14305.1013,3.7036,22.1722,3.7036,22.1722
14316.8172,3.7163,22.1757,3.7163,22.1757
14328.5331,3.7291,22.1797,3.7291,22.1797
14340.2490,3.7416,22.1824,3.7416,22.1824
14351.9649,3.7543,22.1857,3.7543,22.1857
14363.6807,3.7670,22.1888,3.7670,22.1888
14375.3966,3.7798,22.1916,3.7798,22.1916
14387.1125,3.7924,22.1940,3.7924,22.1940
14398.8284,3.8052,22.1945,3.8052,22.1945
14410.5443,3.8177,22.1963,3.8177,22.1963
14422.2602,3.8304,22.1985,3.8304,22.1985
14433.9761,3.8432,22.1990,3.8432,22.1990
14445.6920,3.8557,22.1998,3.8557,22.1998
14457.4079,3.8684,22.2003,3.8684,22.2003
14469.1237,3.8811,22.1998,3.8811,22.1998
14480.8396,3.8935,22.2003,3.8935,22.2003
14492.5555,3.9063,22.1988,3.9063,22.1988
14504.2714,3.9190,22.1975,3.9190,22.1975
14515.9873,3.9314,22.1969,3.9314,22.1969
14527.7032,3.9441,22.1954,3.9441,22.1954
14539.4191,3.9569,22.1936,3.9569,22.1936
14551.1350,3.9693,22.1922,3.9693,22.1922
14562.8509,3.9818,22.1886,3.9818,22.1886
14574.5668,3.9945,22.1865,3.9945,22.1865
14586.2826,4.0069,22.1841,4.0069,22.1841
14597.9985,4.0197,22.1796,4.0197,22.1796
14609.7144,4.0321,22.1774,4.0321,22.1774
14621.4303,4.0446,22.1740,4.0446,22.1740
14633.1462,4.0573,22.1694,4.0573,22.1694
14644.8621,4.0698,22.1646,4.0698,22.1646
14656.5780,4.0822,22.1595,4.0822,22.1595
14668.2939,4.0949,22.1542,4.0949,22.1542
14680.0098,4.1072,22.1500,4.1072,22.1500
14691.7257,4.1195,22.1444,4.1195,22.1444
14703.4415,4.1321,22.1383,4.1321,22.1383
14715.1574,4.1446,22.1323,4.1446,22.1323
14726.8733,4.1570,22.1266,4.1570,22.1266
14738.5892,4.1696,22.1196,4.1696,22.1196
14750.3051,4.1819,22.1141,4.1819,22.1141
14762.0210,4.1942,22.1056,4.1942,22.1056
14773.7369,4.2068,22.0985,4.2068,22.0985
14785.4528,4.2190,22.0907,4.2190,22.0907
14797.1687,4.2316,22.0821,4.2316,22.0821
14808.8845,4.2438,22.0749,4.2438,22.0749
14820.6004,4.2561,22.0660,4.2561,22.0660
14832.3163,4.2685,22.0567,4.2685,22.0567
14844.0322,4.2807,22.0477,4.2807,22.0477
14855.7481,4.2932,22.0381,4.2932,22.0381
14867.4640,4.3054,22.0285,4.3054,22.0285
14879.1799,4.3176,22.0185,4.3176,22.0185
14890.8958,4.3298,22.0091,4.3298,22.0091
14902.6117,4.3421,21.9987,4.3421,21.9987
14914.3276,4.3543,21.9889,4.3543,21.9889
14926.0434,4.3664,21.9785,4.3664,21.9785
14937.7593,4.3788,21.9661,4.3788,21.9661
14949.4752,4.3908,21.9559,4.3908,21.9559
14961.1911,4.4030,21.9444,4.4030,21.9444
14972.9070,4.4151,21.9331,4.4151,21.9331
14984.6229,4.4272,21.9213,4.4272,21.9213
14996.3388,4.4393,21.9079,4.4393,21.9079
15008.0547,4.4515,21.8958,4.4515,21.8958
15019.7706,4.4637,21.8842,4.4637,21.8842
15031.4865,4.4756,21.8717,4.4756,21.8717
15043.2023,4.4877,21.8586,4.4877,21.8586
15054.9182,4.4998,21.8445,4.4998,21.8445
15066.6341,4.5117,21.8306,4.5117,21.8306
15078.3500,4.5238,21.8177,4.5238,21.8177
15090.0659,4.5357,21.8034,4.5357,21.8034
15101.7818,4.5478,21.7905,4.5478,21.7905
15113.4977,4.5597,21.7748,4.5597,21.7748
15125.2136,4.5716,21.7605,4.5716,21.7605
15136.9295,4.5835,21.7460,4.5835,21.7460
15148.6454,4.5955,21.7305,4.5955,21.7305
15160.3612,4.6073,21.7140,4.6073,21.7140
15172.0771,4.6192,21.7001,4.6192,21.7001
15183.7930,4.6312,21.6838,4.6312,21.6838
15195.5089,4.6429,21.6686,4.6429,21.6686
15207.2248,4.6548,21.6519,4.6548,21.6519
15218.9407,4.6664,21.6363,4.6664,21.6363
15230.6566,4.6781,21.6194,4.6781,21.6194
15242.3725,4.6902,21.6031,4.6902,21.6031
15254.0884,4.7018,21.5859,4.7018,21.5859
15265.8042,4.7137,21.5693,4.7137,21.5693
15277.5201,4.7253,21.5509,4.7253,21.5509
15289.2360,4.7370,21.5344,4.7370,21.5344
15300.9519,4.7489,21.5161,4.7489,21.5161
15312.6678,4.7605,21.4989,4.7605,21.4989
15324.3837,4.7721,21.4804,4.7721,21.4804
15336.0996,4.7837,21.4626,4.7837,21.4626
15347.8155,4.7953,21.4432,4.7953,21.4432
15359.5314,4.8071,21.4252,4.8071,21.4252
15371.2473,4.8187,21.4061,4.8187,21.4061
15382.9631,4.8302,21.3881,4.8302,21.3881
15394.6790,4.8418,21.3677,4.8418,21.3677
15406.3949,4.8533,21.3490,4.8533,21.3490
15418.1108,4.8649,21.3283,4.8649,21.3283
15429.8267,4.8762,21.3100,4.8762,21.3100
15441.5426,4.8879,21.2896,4.8879,21.2896
15453.2585,4.8993,21.2696,4.8993,21.2696
15464.9744,4.9108,21.2485,4.9108,21.2485
15476.6903,4.9222,21.2291,4.9222,21.2291
15488.4062,4.9336,21.2074,4.9336,21.2074
15500.1220,4.9450,21.1886,4.9450,21.1886
15511.8379,4.9564,21.1675,4.9564,21.1675
15523.5538,4.9678,21.1460,4.9678,21.1460
15535.2697,4.9791,21.1243,4.9791,21.1243
15546.9856,4.9904,21.1026,4.9904,21.1026
15558.7015,5.0019,21.0815,5.0019,21.0815
15570.4174,5.0131,21.0591,5.0131,21.0591
15582.1333,5.0245,21.0372,5.0245,21.0372
15593.8492,5.0358,21.0154,5.0358,21.0154
15605.5650,5.0470,20.9935,5.0470,20.9935
15617.2809,5.0582,20.9707,5.0582,20.9707
15628.9968,5.0693,20.9482,5.0693,20.9482
15640.7127,5.0806,20.9267,5.0806,20.9267
15652.4286,5.0918,20.9029,5.0918,20.9029
15664.1445,5.1031,20.8790,5.1031,20.8790
15675.8604,5.1141,20.8565,5.1141,20.8565
15687.5763,5.1253,20.8333,5.1253,20.8333
15699.2922,5.1365,20.8099,5.1365,20.8099
15711.0081,5.1476,20.7848,5.1476,20.7848
15722.7239,5.1587,20.7608,5.1587,20.7608
15734.4398,5.1697,20.7378,5.1697,20.7378
15746.1557,5.1808,20.7140,5.1808,20.7140
15757.8716,5.1918,20.6900,5.1918,20.6900
15769.5875,5.2029,20.6661,5.2029,20.6661
15781.3034,5.2141,20.6413,5.2141,20.6413
15793.0193,5.2250,20.6165,5.2250,20.6165
15804.7352,5.2360,20.5923,5.2360,20.5923
15816.4511,5.2468,20.5666,5.2468,20.5666
15828.1670,5.2580,20.5407,5.2580,20.5407
15839.8828,5.2688,20.5157,5.2688,20.5157
15851.5987,5.2798,20.4908,5.2798,20.4908
15863.3146,5.2907,20.4642,5.2907,20.4642
15875.0305,5.3016,20.4392,5.3016,20.4392
15886.7464,5.3125,20.4138,5.3125,20.4138
15898.4623,5.3233,20.3876,5.3233,20.3876
15910.1782,5.3342,20.3617,5.3342,20.3617
15921.8941,5.3450,20.3349,5.3450,20.3349
15933.6100,5.3560,20.3088,5.3560,20.3088
15945.3258,5.3667,20.2818,5.3667,20.2818
15957.0417,5.3776,20.2553,5.3776,20.2553
15968.7576,5.3885,20.2287,5.3885,20.2287
15980.4735,5.3990,20.2014,5.3990,20.2014
15992.1894,5.4097,20.1742,5.4097,20.1742
16003.9053,5.4205,20.1476,5.4205,20.1476
16015.6212,5.4312,20.1195,5.4312,20.1195
16027.3371,5.4419,20.0917,5.4419,20.0917
16039.0530,5.4526,20.0652,5.4526,20.0652
16050.7689,5.4634,20.0369,5.4634,20.0369
16062.4847,5.4739,20.0094,5.4739,20.0094
16074.2006,5.4846,19.9816,5.4846,19.9816
16085.9165,5.4953,19.9541,5.4953,19.9541
16097.6324,5.5059,19.9252,5.5059,19.9252
16109.3483,5.5166,19.8969,5.5166,19.8969
16121.0642,5.5272,19.8695,5.5272,19.8695
16132.7801,5.5377,19.8394,5.5377,19.8394
16144.4960,5.5483,19.8109,5.5483,19.8109
16156.2119,5.5587,19.7819,5.5587,19.7819
16167.9278,5.5695,19.7530,5.5695,19.7530
16179.6436,5.5799,19.7240,5.5799,19.7240
16191.3595,5.5903,19.6945,5.5903,19.6945
16203.0754,5.6009,19.6653,5.6009,19.6653
16214.7913,5.6114,19.6362,5.6114,19.6362
16226.5072,5.6218,19.6073,5.6218,19.6073
16238.2231,5.6325,19.5771,5.6325,19.5771
16249.9390,5.6428,19.5466,5.6428,19.5466
16261.6549,5.6533,19.5170,5.6533,19.5170
16273.3708,5.6638,19.4865,5.6638,19.4865
16285.0866,5.6741,19.4561,5.6741,19.4561
16296.8025,5.6846,19.4255,5.6846,19.4255
16308.5184,5.6950,19.3968,5.6950,19.3968
16320.2343,5.7054,19.3652,5.7054,19.3652
16331.9502,5.7157,19.3340,5.7157,19.3340
16343.6661,5.7261,19.3039,5.7261,19.3039
16355.3820,5.7363,19.2729,5.7363,19.2729
16367.0979,5.7468,19.2424,5.7468,19.2424
16378.8138,5.7569,19.2109,5.7569,19.2109
16390.5297,5.7673,19.1790,5.7673,19.1790
16402.2455,5.7777,19.1472,5.7777,19.1472
16413.9614,5.7879,19.1170,5.7879,19.1170
16425.6773,5.7983,19.0844,5.7983,19.0844
16437.3932,5.8085,19.0533,5.8085,19.0533
16449.1091,5.8189,19.0216,5.8189,19.0216
16460.8250,5.8289,18.9885,5.8289,18.9885
16472.5409,5.8392,18.9569,5.8392,18.9569
16484.2568,5.8494,18.9246,5.8494,18.9246
16495.9727,5.8597,18.8924,5.8597,18.8924
16507.6886,5.8698,18.8600,5.8698,18.8600
16519.4044,5.8799,18.8279,5.8799,18.8279
16531.1203,5.8902,18.7952,5.8902,18.7952
16542.8362,5.9001,18.7623,5.9001,18.7623
16554.5521,5.9105,18.7294,5.9105,18.7294
16566.2680,5.9204,18.6971,5.9204,18.6971
16577.9839,5.9307,18.6624,5.9307,18.6624
16589.6998,5.9408,18.6301,5.9408,18.6301
16601.4157,5.9509,18.5962,5.9509,18.5962
16613.1316,5.9611,18.5630,5.9611,18.5630
16624.8474,5.9712,18.5288,5.9712,18.5288
16636.5633,5.9812,18.4958,5.9812,18.4958
16648.2792,5.9912,18.4618,5.9912,18.4618
16659.9951,6.0013,18.4286,6.0013,18.4286
16671.7110,6.0112,18.3940,6.0112,18.3940
16683.4269,6.0213,18.3600,6.0213,18.3600
16695.1428,6.0313,18.3263,6.0313,18.3263
16706.8587,6.0413,18.2912,6.0413,18.2912
16718.5746,6.0514,18.2569,6.0514,18.2569
16730.2905,6.0613,18.2228,6.0613,18.2228
16742.0063,6.0714,18.1885,6.0714,18.1885
16753.7222,6.0813,18.1533,6.0813,18.1533
16765.4381,6.0912,18.1185,6.0912,18.1185
16777.1540,6.1011,18.0835,6.1011,18.0835
16788.8699,6.1109,18.0482,6.1109,18.0482
16800.5858,6.1211,18.0122,6.1211,18.0122
16812.3017,6.1310,17.9775,6.1310,17.9775
16824.0176,6.1409,17.9416,6.1409,17.9416
16835.7335,6.1508,17.9066,6.1508,17.9066
16847.4494,6.1606,17.8706,6.1606,17.8706
16859.1652,6.1704,17.8356,6.1704,17.8356
16870.8811,6.1803,17.8000,6.1803,17.8000
16882.5970,6.1903,17.7633,6.1903,17.7633
16894.3129,6.2001,17.7279,6.2001,17.7279
16906.0288,6.2099,17.6914,6.2099,17.6914
16917.7447,6.2197,17.6539,6.2197,17.6539
16929.4606,6.2295,17.6182,6.2295,17.6182
16941.1765,6.2392,17.5824,6.2392,17.5824
16952.8924,6.2492,17.5449,6.2492,17.5449
16964.6082,6.2589,17.5079,6.2589,17.5079
16976.3241,6.2688,17.4711,6.2688,17.4711
16988.0400,6.2785,17.4358,6.2785,17.4358
16999.7559,6.2884,17.3978,6.2884,17.3978
17011.4718,6.2981,17.3613,6.2981,17.3613
17023.1877,6.3079,17.3236,6.3079,17.3236
17034.9036,6.3176,17.2857,6.3176,17.2857
17046.6195,6.3272,17.2477,6.3272,17.2477
17058.3354,6.3369,17.2110,6.3369,17.2110
17070.0513,6.3467,17.1735,6.3467,17.1735
17081.7671,6.3564,17.1360,6.3564,17.1360
17093.4830,6.3662,17.0972,6.3662,17.0972
17105.1989,6.3758,17.0596,6.3758,17.0596
17116.9148,6.3855,17.0209,6.3855,17.0209
17128.6307,6.3951,16.9826,6.3951,16.9826
17140.3466,6.4048,16.9446,6.4048,16.9446
17152.0625,6.4146,16.9061,6.4146,16.9061
17163.7784,6.4242,16.8674,6.4242,16.8674
17175.4943,6.4337,16.8280,6.4337,16.8280
17187.2102,6.4434,16.7897,6.4434,16.7897
17198.9260,6.4530,16.7512,6.4530,16.7512
17210.6419,6.4627,16.7124,6.4627,16.7124
17222.3578,6.4722,16.6730,6.4722,16.6730
17234.0737,6.4818,16.6340,6.4818,16.6340
17245.7896,6.4913,16.5943,6.4913,16.5943
17257.5055,6.5010,16.5552,6.5010,16.5552
17269.2214,6.5106,16.5156,6.5106,16.5156
17280.9373,6.5201,16.4758,6.5201,16.4758
17292.6532,6.5298,16.4358,6.5298,16.4358
17304.3691,6.5393,16.3958,6.5393,16.3958
17316.0849,6.5487,16.3561,6.5487,16.3561
17327.8008,6.5583,16.3158,6.5583,16.3158
17339.5167,6.5678,16.2756,6.5678,16.2756
17351.2326,6.5774,16.2352,6.5774,16.2352
17362.9485,6.5869,16.1956,6.5869,16.1956
17374.6644,6.5964,16.1545,6.5964,16.1545
17386.3803,6.6059,16.1143,6.6059,16.1143
17398.0962,6.6154,16.0732,6.6154,16.0732
17409.8121,6.6247,16.0328,6.6247,16.0328
17421.5279,6.6345,15.9909,6.6345,15.9909
17433.2438,6.6437,15.9501,6.6437,15.9501
17444.9597,6.6532,15.9087,6.6532,15.9087
17456.6756,6.6627,15.8676,6.6627,15.8676
17468.3915,6.6722,15.8259,6.6722,15.8259
17480.1074,6.6815,15.7844,6.6815,15.7844
17491.8233,6.6910,15.7428,6.6910,15.7428
17503.5392,6.7003,15.7011,6.7003,15.7011
17515.2551,6.7098,15.6592,6.7098,15.6592
17526.9710,6.7191,15.6174,6.7191,15.6174
17538.6868,6.7287,15.5757,6.7287,15.5757
17550.4027,6.7379,15.5339,6.7379,15.5339
17562.1186,6.7475,15.4911,6.7475,15.4911
17573.8345,6.7569,15.4473,6.7569,15.4473
17585.5504,6.7662,15.4063,6.7662,15.4063
17597.2663,6.7755,15.3636,6.7755,15.3636
17608.9822,6.7849,15.3203,6.7849,15.3203
17620.6981,6.7943,15.2773,6.7943,15.2773
17632.4140,6.8035,15.2345,6.8035,15.2345
17644.1299,6.8129,15.1912,6.8129,15.1912
17655.8457,6.8222,15.1485,6.8222,15.1485
17667.5616,6.8315,15.1048,6.8315,15.1048
17679.2775,6.8409,15.0622,6.8409,15.0622
17690.9934,6.8502,15.0184,6.8502,15.0184
17702.7093,6.8596,14.9752,6.8596,14.9752
17714.4252,6.8689,14.9304,6.8689,14.9304
17726.1411,6.8781,14.8866,6.8781,14.8866
17737.8570,6.8873,14.8427,6.8873,14.8427
17749.5729,6.8966,14.7983,6.8966,14.7983
17761.2887,6.9060,14.7538,6.9060,14.7538
17773.0046,6.9152,14.7096,6.9152,14.7096
17784.7205,6.9246,14.6654,6.9246,14.6654
17796.4364,6.9338,14.6211,6.9338,14.6211
17808.1523,6.9430,14.5764,6.9430,14.5764
17819.8682,6.9520,14.5314,6.9520,14.5314
17831.5841,6.9613,14.4869,6.9613,14.4869
17843.3000,6.9707,14.4409,6.9707,14.4409
17855.0159,6.9799,14.3960,6.9799,14.3960
17866.7318,6.9892,14.3510,6.9892,14.3510
17878.4476,6.9982,14.3058,6.9982,14.3058
17890.1635,7.0075,14.2613,7.0075,14.2613
17901.8794,7.0167,14.2147,7.0167,14.2147
17913.5953,7.0258,14.1694,7.0258,14.1694
17925.3112,7.0349,14.1232,7.0349,14.1232
17937.0271,7.0441,14.0770,7.0441,14.0770
17948.7430,7.0534,14.0315,7.0534,14.0315
17960.4589,7.0625,13.9858,7.0625,13.9858
17972.1748,7.0717,13.9390,7.0717,13.9390
17983.8907,7.0808,13.8916,7.0808,13.8916
17995.6065,7.0900,13.8463,7.0900,13.8463
18007.3224,7.0991,13.7990,7.0991,13.7990
18019.0383,7.1082,13.7527,7.1082,13.7527
18030.7542,7.1174,13.7054,7.1174,13.7054
18042.4701,7.1267,13.6585,7.1267,13.6585
18054.1860,7.1356,13.6117,7.1356,13.6117
18065.9019,7.1447,13.5648,7.1447,13.5648
18077.6178,7.1538,13.5164,7.1538,13.5164
18089.3337,7.1629,13.4697,7.1629,13.4697
18101.0495,7.1721,13.4220,7.1721,13.4220
18112.7654,7.1811,13.3734,7.1811,13.3734
18124.4813,7.1901,13.3268,7.1901,13.3268
18136.1972,7.1992,13.2782,7.1992,13.2782
18147.9131,7.2083,13.2307,7.2083,13.2307
18159.6290,7.2175,13.1823,7.2175,13.1823
18171.3449,7.2264,13.1336,7.2264,13.1336
