frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
2600.9275,4.8236,22.7641,4.8236,22.7641
2612.6434,4.8541,22.5903,4.8541,22.5903
2624.3593,4.8810,22.4072,4.8810,22.4072
2636.0752,4.9032,22.2235,4.9032,22.2235
2647.7911,4.9206,22.0502,4.9206,22.0502
2659.5070,4.9339,21.9080,4.9339,21.9080
2671.2228,4.9455,21.8086,4.9455,21.8086
2682.9387,4.9589,21.7533,4.9589,21.7533
2694.6546,4.9775,21.7267,4.9775,21.7267
2706.3705,5.0018,21.7124,5.0018,21.7124
2718.0864,5.0321,21.6912,5.0321,21.6912
2729.8023,5.0664,21.6507,5.0664,21.6507
2741.5182,5.1027,21.5870,5.1027,21.5870
2753.2341,5.1404,21.4998,5.1404,21.4998
2764.9500,5.1780,21.3924,5.1780,21.3924
2776.6659,5.2148,21.2702,5.2148,21.2702
2788.3817,5.2510,21.1354,5.2510,21.1354
2800.0976,5.2867,20.9887,5.2867,20.9887
2811.8135,5.3213,20.8323,5.3213,20.8323
2823.5294,5.3545,20.6671,5.3545,20.6671
2835.2453,5.3873,20.4994,5.3873,20.4994
2846.9612,5.4185,20.3228,5.4185,20.3228
2858.6771,5.4489,20.1418,5.4489,20.1418
2870.3930,5.4782,19.9580,5.4782,19.9580
2882.1089,5.5064,19.7746,5.5064,19.7746
2893.8247,5.5334,19.5847,5.5334,19.5847
2905.5406,5.5599,19.3969,5.5599,19.3969
2917.2565,5.5850,19.2088,5.5850,19.2088
2928.9724,5.6090,19.0192,5.6090,19.0192
2940.6883,5.6321,18.8395,5.6321,18.8395
2952.4042,5.6545,18.6592,5.6545,18.6592
2964.1201,5.6764,18.4890,5.6764,18.4890
2975.8360,5.6980,18.3244,5.6980,18.3244
2987.5519,5.7203,18.1732,5.7203,18.1732
2999.2678,5.7440,18.0302,5.7440,18.0302
3010.9836,5.7699,17.8952,5.7699,17.8952
3022.6995,5.7996,17.7606,5.7996,17.7606
3034.4154,5.8333,17.6122,5.8333,17.6122
3046.1313,5.8698,17.4389,5.8698,17.4389
3057.8472,5.9082,17.2295,5.9082,17.2295
3069.5631,5.9453,16.9805,5.9453,16.9805
3081.2790,5.9790,16.6985,5.9790,16.6985
3092.9949,6.0086,16.3969,6.0086,16.3969
3104.7108,6.0332,16.0838,6.0332,16.0838
3116.4267,6.0534,15.7700,6.0534,15.7700
3128.1425,6.0701,15.4611,6.0701,15.4611
3139.8584,6.0834,15.1611,6.0834,15.1611
3151.5743,6.0943,14.8707,6.0943,14.8707
